,工况1-1,工况1-2,工况1-3,工况1-4,工况1-5,工况1-6,工况2-1,工况2-2,工况2-3,工况2-4,工况2-5,工况2-6,工况3-1,工况3-2,工况3-3,工况3-4,工况3-5,工况3-6
288,95.486,100.11,102.89,120.02,138.41,156.48,118.72,122.92,125.6,142.35,160.72,178.66,165.22,168.7,171.18,187.43,205.56,223.26
289,95.984,101.08,104.09,122.35,141.8,160.85,119.22,123.9,126.81,144.67,164.13,183.05,165.73,169.68,172.4,189.77,208.99,227.69
290,96.505,102.09,105.34,124.78,145.35,165.43,119.74,124.91,128.07,147.1,167.69,187.65,166.26,170.71,173.67,192.21,212.57,232.32
291,97.048,103.15,106.65,127.32,149.05,170.21,120.29,125.98,129.38,149.62,171.41,192.46,166.81,171.79,175,194.75,216.31,237.15
292,97.613,104.25,108.01,129.96,152.9,175.19,120.85,127.08,130.75,152.25,175.27,197.46,167.38,172.9,176.37,197.39,220.2,242.18
293,98.198,105.38,109.42,132.69,156.89,180.36,121.44,128.22,132.16,154.97,179.28,202.65,167.98,174.06,177.8,200.13,224.22,247.4
294,98.803,106.56,110.87,135.52,161.02,185.72,122.05,129.4,133.62,157.79,183.42,208.03,168.59,175.25,179.28,202.96,228.39,252.81
295,99.427,107.77,112.37,138.43,165.28,191.26,122.68,130.62,135.13,160.69,187.7,213.59,169.23,176.48,180.8,205.88,232.69,258.4
296,100.07,109.02,113.92,141.43,169.67,196.98,123.33,131.88,136.68,163.68,192.1,219.33,169.88,177.75,182.36,208.89,237.11,264.16
297,100.73,110.3,115.51,144.51,174.18,202.86,123.99,133.16,138.28,166.75,196.62,225.23,170.56,179.05,183.97,211.97,241.66,270.09
298,101.41,111.61,117.13,147.66,178.8,208.91,124.67,134.49,139.91,169.9,201.26,231.29,171.25,180.39,185.62,215.14,246.32,276.19
299,102.1,112.96,118.8,150.89,183.54,215.11,125.37,135.84,141.58,173.12,206.01,237.51,171.96,181.76,187.31,218.38,251.09,282.43
300,102.81,114.33,120.5,154.19,188.37,221.46,126.09,137.22,143.29,176.41,210.86,243.88,172.69,183.15,189.04,221.69,255.96,288.83
301,103.54,115.74,122.23,157.55,193.3,227.94,126.82,138.63,145.03,179.76,215.8,250.38,173.43,184.58,190.8,225.06,260.92,295.36
302,104.28,117.16,124,160.97,198.32,234.56,127.56,140.07,146.81,183.17,220.83,257.01,174.19,186.04,192.59,228.49,265.98,302.03
303,105.03,118.62,125.8,164.44,203.42,241.29,128.32,141.53,148.62,186.63,225.94,263.76,174.96,187.52,194.42,231.98,271.12,308.81
304,105.8,120.09,127.62,167.96,208.59,248.13,129.1,143.01,150.45,190.13,231.13,270.63,175.75,189.02,196.28,235.51,276.34,315.71
305,106.58,121.59,129.47,171.53,213.84,255.08,129.88,144.52,152.31,193.68,236.39,277.59,176.55,190.55,198.16,239.09,281.63,322.7
306,107.37,123.11,131.35,175.15,219.14,262.11,130.68,146.05,154.2,197.27,241.71,284.64,177.36,192.11,200.07,242.71,286.98,329.79
307,108.17,124.65,133.25,178.79,224.5,269.22,131.5,147.6,156.11,200.89,247.08,291.77,178.19,193.68,202.01,246.37,292.39,336.97
308,108.99,126.21,135.17,182.48,229.9,276.4,132.32,149.18,158.05,204.54,252.5,298.97,179.04,195.28,203.97,250.05,297.85,344.21
309,109.82,127.79,137.12,186.18,235.33,283.62,133.16,150.77,160.01,208.22,257.96,306.21,179.9,196.9,205.96,253.77,303.34,351.5
310,110.66,129.38,139.07,189.9,240.78,290.86,134.01,152.37,161.98,211.91,263.42,313.48,180.77,198.54,207.97,257.5,308.85,358.81
311,111.5,130.97,141.03,193.6,246.19,298.07,134.87,153.99,163.96,215.59,268.86,320.71,181.65,200.19,209.99,261.23,314.34,366.1
312,112.34,132.55,142.97,197.25,251.53,305.17,135.72,155.58,165.92,219.21,274.22,327.84,182.54,201.82,211.98,264.9,319.75,373.29
313,113.16,134.08,144.85,200.81,256.75,312.13,136.55,157.14,167.82,222.75,279.47,334.83,183.4,203.41,213.93,268.49,325.05,380.33
314,113.95,135.58,146.69,204.31,261.88,318.99,137.35,158.64,169.67,226.21,284.62,341.71,184.21,204.95,215.81,271.99,330.24,387.25
315,114.7,137.04,148.51,207.79,267.03,325.88,138.11,160.11,171.49,229.66,289.77,348.6,184.98,206.43,217.64,275.44,335.41,394.17
316,115.45,138.53,150.35,211.37,272.32,332.96,138.85,161.59,173.33,233.18,295.06,355.68,185.72,207.9,219.47,278.96,340.68,401.24
317,116.21,140.06,152.25,215.09,277.83,340.33,139.6,163.11,175.22,236.84,300.55,363.04,186.44,209.4,221.34,282.59,346.15,408.57
318,116.99,141.64,154.24,218.96,283.55,347.97,140.36,164.68,177.18,240.64,306.24,370.65,187.18,210.94,223.27,286.36,351.81,416.16
319,117.8,143.27,156.27,222.9,289.37,355.73,141.15,166.29,179.19,244.52,312.04,378.39,187.94,212.52,225.25,290.22,357.57,423.87
320,118.61,144.92,158.31,226.86,295.19,363.49,141.95,167.91,181.22,248.42,317.84,386.13,188.72,214.12,227.25,294.09,363.34,431.58
321,119.43,146.55,160.34,230.77,300.94,371.14,142.75,169.53,183.24,252.29,323.57,393.76,189.5,215.72,229.25,297.94,369.05,439.19
322,120.24,148.16,162.34,234.62,306.59,378.65,143.55,171.13,185.23,256.09,329.2,401.26,190.28,217.31,231.22,301.73,374.66,446.66
323,121.04,149.75,164.31,238.4,312.13,386.02,144.33,172.71,187.19,259.84,334.73,408.61,191.05,218.87,233.17,305.47,380.17,454
324,121.83,151.31,166.25,242.11,317.58,393.25,145.11,174.27,189.12,263.53,340.16,415.83,191.82,220.42,235.09,309.16,385.59,461.21
325,122.61,152.85,168.16,245.77,322.93,400.35,145.89,175.8,191.02,267.17,345.5,422.92,192.58,221.94,236.98,312.8,390.91,468.28
326,123.38,154.37,170.04,249.36,328.2,407.32,146.65,177.31,192.89,270.76,350.75,429.89,193.34,223.45,238.85,316.39,396.15,475.23
327,124.14,155.86,171.89,252.89,333.37,414.16,147.4,178.8,194.74,274.3,355.91,436.72,194.08,224.93,240.69,319.92,401.29,482.05
328,124.88,157.33,173.71,256.36,338.45,420.87,148.14,180.26,196.55,277.78,360.98,443.42,194.81,226.39,242.5,323.39,406.35,488.74
329,125.62,158.77,175.49,259.77,343.44,427.44,148.86,181.7,198.33,281.21,365.96,449.98,195.54,227.83,244.28,326.81,411.31,495.29
330,126.34,160.18,177.24,263.1,348.32,433.87,149.58,183.11,200.08,284.57,370.83,456.4,196.25,229.24,246.02,330.17,416.18,501.71
